2019-05-16 08:59:06	 | ::1	 | Heiner	 | pagination.php: function: showPagination	 | /Gold/hosts.php
2019-05-16 08:59:06	 | ::1	 | Heiner	 | function: cls_dataSource:pagination	 | /Gold/hosts.php
2019-05-16 08:59:06	 | ::1	 | Heiner	 | pagination.php: function: showPagination	 | /Gold/hosts.php
2019-05-16 08:59:08	 | ::1	 | Heiner	 | Creating default data source	 | /Gold/environments.php
2019-05-16 08:59:08	 | ::1	 | Heiner	 | Constructing dataSource class	 | /Gold/environments.php
2019-05-16 08:59:08	 | ::1	 | Heiner	 | Connecting to mysql	 | /Gold/environments.php
2019-05-16 08:59:09	 | ::1	 | Heiner	 | pagination.php: function: paginate	 | /Gold/environments.php
2019-05-16 08:59:09	 | ::1	 | Heiner	 | Page num: 1	 | /Gold/environments.php
2019-05-16 08:59:09	 | ::1	 | Heiner	 | class-limited SQL: select e.env_id, e.app_id , app_name, e.env_class, e.env_name  from environment e LEFT JOIN application as a ON e.app_id=a.app_id WHERE 1=1  order by app_name, e.env_name  limit 0 , 30	 | /Gold/environments.php
2019-05-16 08:59:09	 | ::1	 | Heiner	 | MySQL result set column count: 5	 | /Gold/environments.php
2019-05-16 08:59:09	 | ::1	 | Heiner	 | pagination.php: function: showPagination	 | /Gold/environments.php
2019-05-16 08:59:09	 | ::1	 | Heiner	 | function: cls_dataSource:pagination	 | /Gold/environments.php
2019-05-16 08:59:09	 | ::1	 | Heiner	 | pagination.php: function: showPagination	 | /Gold/environments.php
2019-05-16 08:59:12	 | ::1	 | Heiner	 | Creating default data source	 | /Gold/applications.php
2019-05-16 08:59:12	 | ::1	 | Heiner	 | Constructing dataSource class	 | /Gold/applications.php
2019-05-16 08:59:12	 | ::1	 | Heiner	 | Connecting to mysql	 | /Gold/applications.php
2019-05-16 08:59:13	 | ::1	 | Heiner	 | pagination.php: function: paginate	 | /Gold/applications.php
2019-05-16 08:59:13	 | ::1	 | Heiner	 | Page num: 1	 | /Gold/applications.php
2019-05-16 08:59:13	 | ::1	 | Heiner	 | class-limited SQL: select app_id , app_name  from application  order by 2  limit 0 , 50	 | /Gold/applications.php
2019-05-16 08:59:13	 | ::1	 | Heiner	 | MySQL result set column count: 2	 | /Gold/applications.php
2019-05-16 08:59:13	 | ::1	 | Heiner	 | pagination.php: function: showPagination	 | /Gold/applications.php
2019-05-16 08:59:13	 | ::1	 | Heiner	 | function: cls_dataSource:pagination	 | /Gold/applications.php
2019-05-16 08:59:13	 | ::1	 | Heiner	 | pagination.php: function: showPagination	 | /Gold/applications.php
2019-05-16 09:00:46	 | ::1	 | Heiner	 | Creating default data source	 | /Gold/environments.php
2019-05-16 09:00:46	 | ::1	 | Heiner	 | Constructing dataSource class	 | /Gold/environments.php
2019-05-16 09:00:46	 | ::1	 | Heiner	 | Connecting to mysql	 | /Gold/environments.php
2019-05-16 09:00:47	 | ::1	 | Heiner	 | pagination.php: function: paginate	 | /Gold/environments.php
2019-05-16 09:00:47	 | ::1	 | Heiner	 | Page num: 1	 | /Gold/environments.php
2019-05-16 09:00:47	 | ::1	 | Heiner	 | class-limited SQL: select e.env_id, e.app_id , app_name, e.env_class, e.env_name  from environment e LEFT JOIN application as a ON e.app_id=a.app_id WHERE 1=1  order by app_name, e.env_name  limit 0 , 30	 | /Gold/environments.php
2019-05-16 09:00:47	 | ::1	 | Heiner	 | MySQL result set column count: 5	 | /Gold/environments.php
2019-05-16 09:00:47	 | ::1	 | Heiner	 | pagination.php: function: showPagination	 | /Gold/environments.php
2019-05-16 09:00:47	 | ::1	 | Heiner	 | function: cls_dataSource:pagination	 | /Gold/environments.php
2019-05-16 09:00:47	 | ::1	 | Heiner	 | pagination.php: function: showPagination	 | /Gold/environments.php
2019-05-16 09:01:04	 | ::1	 | Heiner	 | Creating default data source	 | /Gold/environments.php?pagenum=1&sortorder=&userid=&productid=&motsid=8
2019-05-16 09:01:04	 | ::1	 | Heiner	 | Constructing dataSource class	 | /Gold/environments.php?pagenum=1&sortorder=&userid=&productid=&motsid=8
2019-05-16 09:01:04	 | ::1	 | Heiner	 | Connecting to mysql	 | /Gold/environments.php?pagenum=1&sortorder=&userid=&productid=&motsid=8
2019-05-16 09:01:05	 | ::1	 | Heiner	 | pagination.php: function: paginate	 | /Gold/environments.php?pagenum=1&sortorder=&userid=&productid=&motsid=8
2019-05-16 09:01:05	 | ::1	 | Heiner	 | Page num: 1	 | /Gold/environments.php?pagenum=1&sortorder=&userid=&productid=&motsid=8
2019-05-16 09:01:05	 | ::1	 | Heiner	 | class-limited SQL: select e.env_id, e.app_id , app_name, e.env_class, e.env_name  from environment e LEFT JOIN application as a ON e.app_id=a.app_id WHERE 1=1  order by app_name, e.env_name  limit 0 , 30	 | /Gold/environments.php?pagenum=1&sortorder=&userid=&productid=&motsid=8
2019-05-16 09:01:05	 | ::1	 | Heiner	 | MySQL result set column count: 5	 | /Gold/environments.php?pagenum=1&sortorder=&userid=&productid=&motsid=8
2019-05-16 09:01:05	 | ::1	 | Heiner	 | pagination.php: function: showPagination	 | /Gold/environments.php?pagenum=1&sortorder=&userid=&productid=&motsid=8
2019-05-16 09:01:05	 | ::1	 | Heiner	 | function: cls_dataSource:pagination	 | /Gold/environments.php?pagenum=1&sortorder=&userid=&productid=&motsid=8
2019-05-16 09:01:05	 | ::1	 | Heiner	 | pagination.php: function: showPagination	 | /Gold/environments.php?pagenum=1&sortorder=&userid=&productid=&motsid=8
2019-05-16 09:02:46	 | ::1	 | Heiner	 | Creating default data source	 | /Gold/help.php
2019-05-16 09:02:46	 | ::1	 | Heiner	 | Constructing dataSource class	 | /Gold/help.php
2019-05-16 09:02:46	 | ::1	 | Heiner	 | Connecting to mysql	 | /Gold/help.php
2019-05-16 09:03:24	 | ::1	 | Heiner	 | Creating default data source	 | /Gold/index.php
2019-05-16 09:03:24	 | ::1	 | Heiner	 | Constructing dataSource class	 | /Gold/index.php
2019-05-16 09:03:24	 | ::1	 | Heiner	 | Connecting to mysql	 | /Gold/index.php
2019-05-16 09:03:35	 | ::1	 | Heiner	 | Creating default data source	 | /Gold/applications.php
2019-05-16 09:03:35	 | ::1	 | Heiner	 | Constructing dataSource class	 | /Gold/applications.php
2019-05-16 09:03:35	 | ::1	 | Heiner	 | Connecting to mysql	 | /Gold/applications.php
2019-05-16 09:03:36	 | ::1	 | Heiner	 | pagination.php: function: paginate	 | /Gold/applications.php
2019-05-16 09:03:36	 | ::1	 | Heiner	 | Page num: 1	 | /Gold/applications.php
2019-05-16 09:03:36	 | ::1	 | Heiner	 | class-limited SQL: select app_id , app_name  from application  order by 2  limit 0 , 50	 | /Gold/applications.php
2019-05-16 09:03:36	 | ::1	 | Heiner	 | MySQL result set column count: 2	 | /Gold/applications.php
2019-05-16 09:03:36	 | ::1	 | Heiner	 | pagination.php: function: showPagination	 | /Gold/applications.php
2019-05-16 09:03:36	 | ::1	 | Heiner	 | function: cls_dataSource:pagination	 | /Gold/applications.php
2019-05-16 09:03:36	 | ::1	 | Heiner	 | pagination.php: function: showPagination	 | /Gold/applications.php
2019-05-16 09:05:51	 | ::1	 | Heiner	 | Creating default data source	 | /Gold/help.php
2019-05-16 09:05:51	 | ::1	 | Heiner	 | Constructing dataSource class	 | /Gold/help.php
2019-05-16 09:05:51	 | ::1	 | Heiner	 | Connecting to mysql	 | /Gold/help.php
2019-05-16 09:06:04	 | ::1	 | Heiner	 | Creating default data source	 | /Gold/index.php
2019-05-16 09:06:04	 | ::1	 | Heiner	 | Constructing dataSource class	 | /Gold/index.php
2019-05-16 09:06:04	 | ::1	 | Heiner	 | Connecting to mysql	 | /Gold/index.php
2019-05-16 09:07:41	 | ::1	 | Heiner	 | Creating default data source	 | /Gold/applications.php
2019-05-16 09:07:41	 | ::1	 | Heiner	 | Constructing dataSource class	 | /Gold/applications.php
2019-05-16 09:07:41	 | ::1	 | Heiner	 | Connecting to mysql	 | /Gold/applications.php
2019-05-16 09:07:42	 | ::1	 | Heiner	 | pagination.php: function: paginate	 | /Gold/applications.php
2019-05-16 09:07:42	 | ::1	 | Heiner	 | Page num: 1	 | /Gold/applications.php
2019-05-16 09:07:42	 | ::1	 | Heiner	 | class-limited SQL: select app_id , app_name  from application  order by 2  limit 0 , 50	 | /Gold/applications.php
2019-05-16 09:07:42	 | ::1	 | Heiner	 | MySQL result set column count: 2	 | /Gold/applications.php
2019-05-16 09:07:42	 | ::1	 | Heiner	 | pagination.php: function: showPagination	 | /Gold/applications.php
2019-05-16 09:07:42	 | ::1	 | Heiner	 | function: cls_dataSource:pagination	 | /Gold/applications.php
2019-05-16 09:07:42	 | ::1	 | Heiner	 | pagination.php: function: showPagination	 | /Gold/applications.php
2019-05-16 09:16:29	 | ::1	 | Heiner	 | Creating default data source	 | /Gold/applications.php
2019-05-16 09:16:29	 | ::1	 | Heiner	 | Constructing dataSource class	 | /Gold/applications.php
2019-05-16 09:16:29	 | ::1	 | Heiner	 | Connecting to mysql	 | /Gold/applications.php
2019-05-16 09:16:30	 | ::1	 | Heiner	 | pagination.php: function: paginate	 | /Gold/applications.php
2019-05-16 09:16:30	 | ::1	 | Heiner	 | Page num: 1	 | /Gold/applications.php
2019-05-16 09:16:30	 | ::1	 | Heiner	 | class-limited SQL: select app_name as 'Name', app_id as 'ID', app_id as 'Environments', app_id as 'Hosts', app_id as 'Databases' from application  order by 1  limit 0 , 50	 | /Gold/applications.php
2019-05-16 09:16:30	 | ::1	 | Heiner	 | MySQL result set column count: 5	 | /Gold/applications.php
2019-05-16 09:16:30	 | ::1	 | Heiner	 | function: cls_dataSource:pagination	 | /Gold/applications.php
2019-05-16 09:16:30	 | ::1	 | Heiner	 | Arraylength: 5	 | /Gold/applications.php
2019-05-16 09:16:30	 | ::1	 | Heiner	 | Field number: 0	 | /Gold/applications.php
2019-05-16 09:16:30	 | ::1	 | Heiner	 | Field number: 1	 | /Gold/applications.php
2019-05-16 09:16:30	 | ::1	 | Heiner	 | Field number: 2	 | /Gold/applications.php
2019-05-16 09:16:30	 | ::1	 | Heiner	 | Field number: 3	 | /Gold/applications.php
2019-05-16 09:16:30	 | ::1	 | Heiner	 | Field number: 4	 | /Gold/applications.php
2019-05-16 09:16:30	 | ::1	 | Heiner	 | Arraylength: 5	 | /Gold/applications.php
2019-05-16 09:16:30	 | ::1	 | Heiner	 | Field number: 0	 | /Gold/applications.php
2019-05-16 09:16:30	 | ::1	 | Heiner	 | Field number: 1	 | /Gold/applications.php
2019-05-16 09:16:30	 | ::1	 | Heiner	 | Field number: 2	 | /Gold/applications.php
2019-05-16 09:16:30	 | ::1	 | Heiner	 | Field number: 3	 | /Gold/applications.php
2019-05-16 09:16:30	 | ::1	 | Heiner	 | Field number: 4	 | /Gold/applications.php
2019-05-16 09:16:30	 | ::1	 | Heiner	 | Arraylength: 5	 | /Gold/applications.php
2019-05-16 09:16:30	 | ::1	 | Heiner	 | Field number: 0	 | /Gold/applications.php
2019-05-16 09:16:30	 | ::1	 | Heiner	 | Field number: 1	 | /Gold/applications.php
2019-05-16 09:16:30	 | ::1	 | Heiner	 | Field number: 2	 | /Gold/applications.php
2019-05-16 09:16:30	 | ::1	 | Heiner	 | Field number: 3	 | /Gold/applications.php
2019-05-16 09:16:30	 | ::1	 | Heiner	 | Field number: 4	 | /Gold/applications.php
2019-05-16 09:16:30	 | ::1	 | Heiner	 | Arraylength: 5	 | /Gold/applications.php
2019-05-16 09:16:30	 | ::1	 | Heiner	 | Field number: 0	 | /Gold/applications.php
2019-05-16 09:16:30	 | ::1	 | Heiner	 | Field number: 1	 | /Gold/applications.php
2019-05-16 09:16:30	 | ::1	 | Heiner	 | Field number: 2	 | /Gold/applications.php
2019-05-16 09:16:30	 | ::1	 | Heiner	 | Field number: 3	 | /Gold/applications.php
2019-05-16 09:16:30	 | ::1	 | Heiner	 | Field number: 4	 | /Gold/applications.php
2019-05-16 09:16:30	 | ::1	 | Heiner	 | Arraylength: 5	 | /Gold/applications.php
2019-05-16 09:16:30	 | ::1	 | Heiner	 | Field number: 0	 | /Gold/applications.php
2019-05-16 09:16:30	 | ::1	 | Heiner	 | Field number: 1	 | /Gold/applications.php
2019-05-16 09:16:30	 | ::1	 | Heiner	 | Field number: 2	 | /Gold/applications.php
2019-05-16 09:16:30	 | ::1	 | Heiner	 | Field number: 3	 | /Gold/applications.php
2019-05-16 09:16:30	 | ::1	 | Heiner	 | Field number: 4	 | /Gold/applications.php
2019-05-16 09:16:30	 | ::1	 | Heiner	 | Arraylength: 5	 | /Gold/applications.php
2019-05-16 09:16:30	 | ::1	 | Heiner	 | Field number: 0	 | /Gold/applications.php
2019-05-16 09:16:30	 | ::1	 | Heiner	 | Field number: 1	 | /Gold/applications.php
2019-05-16 09:16:30	 | ::1	 | Heiner	 | Field number: 2	 | /Gold/applications.php
2019-05-16 09:16:30	 | ::1	 | Heiner	 | Field number: 3	 | /Gold/applications.php
2019-05-16 09:16:30	 | ::1	 | Heiner	 | Field number: 4	 | /Gold/applications.php
2019-05-16 09:16:30	 | ::1	 | Heiner	 | Arraylength: 5	 | /Gold/applications.php
2019-05-16 09:16:30	 | ::1	 | Heiner	 | Field number: 0	 | /Gold/applications.php
